,name,total,uri
0,COVID-19 Quarantine Party,127,spotify:playlist:55V6HUzPnISl7ADpE3yfUD
1, QUARANTINE VIBES,7,spotify:playlist:5bVlFq1HxPq7MIIwSaqAuG
2,Quarantine,57,spotify:playlist:5S0ZFPdpLtomQLJ7MiQ1hF
3,QUARANTINE SUPRISE JAMS,100,spotify:playlist:4LTAyQOAcAYv0W5zQWKj57
4,S.T.G Quarantine Vibes,10,spotify:playlist:39eHbMlQMrGiqDsOhJzMWL
5,Quarantine 2020,34,spotify:playlist:59aMxE6yAEzQv9C5xhRl4J
6,Quarantine ,67,spotify:playlist:1uWvXOF2DFf6qdQ7X0vmxK
7,Quarantine vibes😍😍,738,spotify:playlist:67PNgOCOi3WpcHIccl6czh
8,Quarantine,31,spotify:playlist:0qVmQzW0cr8KNRaW4vzN9Y
9,SOFI TUKKER - HOUSE ARREST - QUARANTINE WORKOUT,57,spotify:playlist:42Ibdztm7kPGXI1iFT9VhE
10,Heavy Quarantine,47,spotify:playlist:5hY7M3DlAmrMt1x7OFIWIm
11,Quarantine Vibin' ,49,spotify:playlist:5nB7dHBe6dt00izV3NLv9t
12,🎧 Quarantine Vibe💤 [Monthly Selection],65,spotify:playlist:6m4uOPo6P4Rz7NPGL9ZPnx
13,krnb for self quarantine,199,spotify:playlist:1wY6K6lMUk18WovQBUtonQ
14,Quarantine Vibes,23,spotify:playlist:19YYsBeoO54WYuHgRAwHk4
15,quarantine,23,spotify:playlist:2ZQgBcVD84g1v88vhPiLVy
16,D-Nice: Club Quarantine,191,spotify:playlist:5tCjaWbTpKuoaRZIubhODR
17,Quarantine Jams,82,spotify:playlist:4zukrZnEtitSCdfBzesUAl
18,QUARANTINE,21,spotify:playlist:15wDjvQ5AwuEMGnZgAPUsA
19,NOW That's What I Call Quarantine,42,spotify:playlist:5m2nqEtJUK06QA1TmCjwuL
20,coronavirus quarantine and chill,62,spotify:playlist:2SJnG0Ork9kmyZHL5UJsb6
21,quarantine vibes😌,243,spotify:playlist:7cvMvZgUNNzyqzwasZcmvs
22,quarantine jams😝😝,182,spotify:playlist:2bmglJU88gbs2z5JkurMd4
23,Quarantine Country,169,spotify:playlist:1iBVCzWhzpRaWaV4GxpWhn
24,Quarantine Workout,39,spotify:playlist:4S8zc0eytiSfoOwru73gqS
25,Quarantine n' Chill,29,spotify:playlist:2WTRxU029x1fni8RyQocwL
26,Music to Be Quarantined By ,35,spotify:playlist:12gyWY48p8cNZefiG0fX84
27,SuperM Quarantine Playlist,34,spotify:playlist:0fYokTfQi5CmIrYbyx2ZoG
28,Club Quarantine 2020 - DJ DNice,129,spotify:playlist:75wTTHpDt1g71EjU8LKwuS
29,SuperM KAI Quarantine Playlist,5,spotify:playlist:3YNuB5ImnAeTzCLcDT8SSG
30,SuperM MARK Quarantine Playlist,5,spotify:playlist:3ESidFUhJwjfZwIlzF27Th
31,COVID-19 Quarantine Party,37,spotify:playlist:1Tn6OrkJhOYO5u6y16erqB
32,QUARANTINE CHILL,20,spotify:playlist:22QmUPsv0f2YRaShuL2SBf
33,Wale Quarantine Essentials,108,spotify:playlist:6igY6nApvPjVRCp3WQPBwy
34,Quarantine 2020,28,spotify:playlist:1g9WEFyTgOt7GlYCPjvgWU
35,Quarantine Grooves,133,spotify:playlist:2VzdHQNlyBQVFfTRa3oNqd
36,Quarantine Playlist,43,spotify:playlist:5Gco5KJucvAjszHSA88f9a
37,Morrissey For Quarantine,18,spotify:playlist:029U3axy27ctHWqi51nSvC
38,Quarantine & Chill,41,spotify:playlist:1mvVwpbWSbh2DZwfmOlDqA
39,Quarantine & Chill ,73,spotify:playlist:7HPxTR5Dw1cUyxeeVPLDSP
40,Quarantine Vibes,37,spotify:playlist:089YiEuMZhNmIWhrvPSJhe
41,chill beats to quarantine to,40,spotify:playlist:5bPe4ZISvKWU5yTzsSO9lX
42,EDM Quarantine,82,spotify:playlist:5P7NkTSkbT6r504d2FrfH3
43, self quarantine ,76,spotify:playlist:4f8Ufgtckum69TI1zv7tVr
44,Quarantine covid - 19,98,spotify:playlist:7qJzyN6atsM49NOWnqGbEK
45,Quarantine & Cry 2020 😷😢 ,372,spotify:playlist:1ol6p8QNkTcoJYEY8HHQfr
46,Quarantine Vibes,77,spotify:playlist:7wq63vcBt1v3bjOdg7W2lR
47,SuperM TAEYONG Quarantine Playlist,5,spotify:playlist:6CICYtLUNApGznp3fAB28L
48,Quarantine and Chill,408,spotify:playlist:0gOGX1JWRSifrZdxfWnMzT
49,quarantine & chill,32,spotify:playlist:6ngT6gM90tgV9jmwiZbBfR
50,quarantine ,12,spotify:playlist:2hW5rC7CQITlH09QNcEE0h
51,Quarantine Pop Mix ,38,spotify:playlist:1wTdp9zuqGrVBHCB4ASW8d
52,11:55 - Quarantine & Chill,113,spotify:playlist:1WSsfAPNrsJuz9YwhnsTeZ
53,quarantine?? idk her,52,spotify:playlist:3fNv4itjCSdYYZrxKJFktt
54,"Party Mix 🎉 (Partyhits, Club Hits, EDM, 90er, 2000er, Sommer, Malle, Corona Quarantine Party)",174,spotify:playlist:3J12hwt6CkloPduTnEO2Tu
55,SuperM TEN Quarantine Playlist,5,spotify:playlist:3gmRUbC3UR7GPrgfVC2zDn
56,I Might Just Go Psycho (TikTok),59,spotify:playlist:5Imk7tYgXur4nFpZpBE5S3
57, CLEANING or DANCING NOW- Quarantine dance music,523,spotify:playlist:1QbLO5FVL1gufy44xJNRZI
58,quarantine ,38,spotify:playlist:60QPST1G72SmPhJf8PuqDK
59,+ Quarantine Vibes,214,spotify:playlist:5rlkqdwsWI3UjmY2KQszlM
60,SuperM TAEMIN Quarantine Playlist,5,spotify:playlist:3bmzqmqvM9W8cTM4PE27bc
61,DJ Nice Quarantine Playlist,99,spotify:playlist:4xJu8EmRfpvngXxnei8yCK
62,Likys Quarantine Playlist,73,spotify:playlist:5yRzq3MR30w6Y9x099VobN
63,QUARANTINE BANGERS,85,spotify:playlist:1r2m2iSyA1rsrztpjWcbtn
64,😷 LOFI QUARANTINE  😷,212,spotify:playlist:4trQzGLmMY9csy5tshBEQa
65,🗺Summer Quarantine🚧,92,spotify:playlist:3e1YLhqZJ3FClqnQsWs4UF
66,CONFFIN DANCE MEME |  QUARANTINE MEME,5,spotify:playlist:60ijheheQR0CBiXgIoL6L9
67,Indie Quarantine,40,spotify:playlist:3RZ7VJHXa4aeJAMG9geUNp
68,Quarantine Groove,18,spotify:playlist:7Av35X0Jo5XxYo8oAyAt9R
69,CORONAVIRUS QUARANTINE PARTY COVID-19 2020,72,spotify:playlist:3r9u5bXzAYEvc0xBKkSnAx
70,Upbeat Songs for Quarantined Kids,31,spotify:playlist:29zvXjhLjTlGeOK3n8KqV3
71,Quarantine With Me,122,spotify:playlist:4cnc0ltJNEGfXwUGqSzujW
72, COVID Quarantine Dance Party,67,spotify:playlist:6YtMiqSUG7ec8D0NiOjVyB
73,SuperM LUCAS Quarantine Playlist,5,spotify:playlist:2n7zJLwCk59Qo08Ru41Mej
74,SuperM BAEKHYUN Quarantine Playlist,5,spotify:playlist:00lzojTgp2f9NE64ykwihu
75,quarantine lifeline,16,spotify:playlist:476Hp8I2hmjZMBPuJ2yQBN
76,Quarantine and Chill,36,spotify:playlist:1IuZsUA2S0RMpHuf1OC9zY
