,name,total,uri
0,Québécois 1990-2019,88,spotify:playlist:3wkKhYWQAJNwzCbG3NdqLU
1,Q lokura 2019-2020,30,spotify:playlist:5MZMyNdERTyHKsIfZMT0qc
2,Os Barões da Pisadinha - 2019/2020,54,spotify:playlist:0Ng3oO0dH9YaDUTauBKd4L
3,BANDA 2020 🤠🔥 MAYO 🔥🤠 AYAYAY QUE MALDICIÓN GRUPO FIRME JULION ALVAREZ,104,spotify:playlist:1rrswNFB6FJmEDW26gOXM3
4,Qlimax 2019 by Q-dance,40,spotify:playlist:1pRbBtxQySnKaYh9kA5bwb
5,Qmusic top 500 foute uur 2019,500,spotify:playlist:6eRx17VXu6V5LjAk1K3kb7
6,Q-top 500 van het Foute Uur | editie 2019,543,spotify:playlist:3yrkufPzoQed2prJPh86LL
7,X-QLUSIVE Holland 2019,66,spotify:playlist:47j2guwAV5PwxqbSV6AtfP
8,Q-top 1000 | editie 2019,1065,spotify:playlist:2pnt79m93NytfAj2lByLlQ
9,Q-Dance | Hardstyle Top 100 | 2019,100,spotify:playlist:0B2bjiQkVcIHXXgqFb1k7T
10,United Kingdom Top 50,50,spotify:playlist:37i9dQZEVXbLnolsZ8PSNw
11,Dale que va 2019,13,spotify:playlist:1DUOPzspCF0ELH9OWGPZKW
12,QDANCE TOP 100 2019,100,spotify:playlist:2ChrJs7VI68GjeibSwv7KD
13,Q-Music Top 1000 2019,600,spotify:playlist:1LvaU2ZSjYxX5e5cexsc6B
14,REGUETON 2020 🔥☀,104,spotify:playlist:66WFalGuFXfed3D87cFGzA
15,Elite Season 2 Soundtrack Netflix (2019),46,spotify:playlist:3l89HUhxx9JShsgO96KsuF
16,Q' Lokura 2019,33,spotify:playlist:1xHYQzuaWW7f9rYMiYPwBu
17,De Foute 528 (Q-Music) | Editie 2019,528,spotify:playlist:0OPehDIQmlI90t8s2vQcNk
18,GUARACHA MIX LO MEJOR 2019,41,spotify:playlist:6YfV6HEHrVGopHggIWoAPQ
19,Top Artistas Centroamérica 2019,100,spotify:playlist:37i9dQZF1DX9XjPwXOqc9c
20,Lo mejor del 2019 (Top Latino 2019),190,spotify:playlist:1jYJ664DF1uzfB2NncwnEK
21,MARCELO FALCÃO - Turnê 2019,24,spotify:playlist:0R4KhSzz2qzyXNgKSWCSSt
22,Queen and Slim Soundtrack,28,spotify:playlist:4FRQYGgQtyPEZ7mpK1sAEK
23,MPB 2020 - As Mais Tocadas e Lançamentos,100,spotify:playlist:5x2Cps2k22PkpZy1WzJM9Y
24,Fit Dance 2019,36,spotify:playlist:2tVEUqolxYMAExmL8vYI2k
