,uri,count,name,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
477,spotify:track:5dsYVdaWnWIRm419kNBbag,5,Can't Change Me,1999-01-01,45,False,0.48,0.829,7,-6.302,0,0.052,0.0299,0.0,0.0978,0.548,162.942,audio_features,5dsYVdaWnWIRm419kNBbag,https://api.spotify.com/v1/tracks/5dsYVdaWnWIRm419kNBbag,https://api.spotify.com/v1/audio-analysis/5dsYVdaWnWIRm419kNBbag,202440,3
479,spotify:track:66R5oBIbtBDJk0D0oMVcVN,3,Nearly Forgot My Broken Heart,2015-09-18,1,False,0.598,0.806,0,-5.442,1,0.0289,0.0959,2.9e-06,0.16,0.588,119.536,audio_features,66R5oBIbtBDJk0D0oMVcVN,https://api.spotify.com/v1/tracks/66R5oBIbtBDJk0D0oMVcVN,https://api.spotify.com/v1/audio-analysis/66R5oBIbtBDJk0D0oMVcVN,234427,4
482,spotify:track:3vBA9cISon26MlnDWdKSSQ,5,Fell On Black Days,1994-03-09,5,False,0.577,0.732,4,-5.731,0,0.0275,0.00154,0.000204,0.133,0.523,101.704,audio_features,3vBA9cISon26MlnDWdKSSQ,https://api.spotify.com/v1/tracks/3vBA9cISon26MlnDWdKSSQ,https://api.spotify.com/v1/audio-analysis/3vBA9cISon26MlnDWdKSSQ,283027,3
483,spotify:track:7v6fE4H5BBK5591OjJM4gz,5,"Thank You - Recorded Live At Esplanade Arts & Heritage Centre, Medicine Hat, Alberta, Canada on April 27, 2011",2011-01-01,4,False,0.399,0.316,7,-5.681,1,0.0265,0.769,0.0,0.728,0.112,78.028,audio_features,7v6fE4H5BBK5591OjJM4gz,https://api.spotify.com/v1/tracks/7v6fE4H5BBK5591OjJM4gz,https://api.spotify.com/v1/audio-analysis/7v6fE4H5BBK5591OjJM4gz,288187,4
489,spotify:track:35SiNV5YHBDsuiTtD0CIwc,5,Hunger Strike,1991-01-01,57,False,0.37,0.563,0,-10.842,1,0.0323,0.0201,1.93e-06,0.0852,0.303,137.695,audio_features,35SiNV5YHBDsuiTtD0CIwc,https://api.spotify.com/v1/tracks/35SiNV5YHBDsuiTtD0CIwc,https://api.spotify.com/v1/audio-analysis/35SiNV5YHBDsuiTtD0CIwc,243027,4
493,spotify:track:3bwAS8cN7Xtzvv5UurJOOX,6,I Am the Highway,2002-11-17,67,False,0.341,0.662,9,-5.023,0,0.0335,0.105,0.0,0.113,0.2,174.875,audio_features,3bwAS8cN7Xtzvv5UurJOOX,https://api.spotify.com/v1/tracks/3bwAS8cN7Xtzvv5UurJOOX,https://api.spotify.com/v1/audio-analysis/3bwAS8cN7Xtzvv5UurJOOX,334907,4
495,spotify:track:3ztCt91U2wGkDZuzbCwH6H,5,Black Hole Sun,1994-03-09,13,False,0.351,0.822,6,-5.337,1,0.0408,0.000185,0.000117,0.0766,0.158,105.503,audio_features,3ztCt91U2wGkDZuzbCwH6H,https://api.spotify.com/v1/tracks/3ztCt91U2wGkDZuzbCwH6H,https://api.spotify.com/v1/audio-analysis/3ztCt91U2wGkDZuzbCwH6H,318587,4
498,spotify:track:1KeMPxiiGuSqty4ecRllVE,4,Sunshower - Great Expectations Soundtrack,1998,48,False,0.499,0.567,2,-6.1,1,0.0285,0.519,2.53e-06,0.122,0.144,150.983,audio_features,1KeMPxiiGuSqty4ecRllVE,https://api.spotify.com/v1/tracks/1KeMPxiiGuSqty4ecRllVE,https://api.spotify.com/v1/audio-analysis/1KeMPxiiGuSqty4ecRllVE,352897,4
500,spotify:track:4QglwXpVgc088RhQOp42vx,4,Seasons,1992-06-02,52,False,0.48,0.384,10,-12.705,1,0.0304,0.181,0.105,0.124,0.194,152.184,audio_features,4QglwXpVgc088RhQOp42vx,https://api.spotify.com/v1/tracks/4QglwXpVgc088RhQOp42vx,https://api.spotify.com/v1/audio-analysis/4QglwXpVgc088RhQOp42vx,345133,4
504,spotify:track:3YuaBvuZqcwN3CEAyyoaei,9,Like a Stone,2002-11-17,76,False,0.614,0.568,7,-5.477,0,0.0276,0.00797,0.0,0.0997,0.516,107.849,audio_features,3YuaBvuZqcwN3CEAyyoaei,https://api.spotify.com/v1/tracks/3YuaBvuZqcwN3CEAyyoaei,https://api.spotify.com/v1/audio-analysis/3YuaBvuZqcwN3CEAyyoaei,293960,4
