,uri,count
0,spotify:track:2x59pa3xDf8hHZ4N3f5fGQ,1
1,spotify:track:2R6UrJ8uWbSIiHWmvRQvN8,1
2,spotify:track:4eJikwHYHJ3yMg1tvS1Mom,1
3,spotify:track:4SafR3a8senZ2r65hZWMKN,1
4,spotify:track:23W7gzqG81mz9cQyjGSP91,1
5,spotify:track:7wjQF9XTCrjvQZLeZBGMWs,1
6,spotify:track:6uK6H8xkSQRA4Y2TfczXs0,1
7,spotify:track:5Srks36XWpQoF47EYF7ExI,1
8,spotify:track:1YhF0pq2t8QU43TvCJGVO6,1
9,spotify:track:59iTRaqCVSG6E382GYghBY,1
10,spotify:track:1I1DRPWM8iIYEbsuGMbaR3,1
11,spotify:track:734dz1YaFITwawPpM25fSt,1
12,spotify:track:2S5LNtRVRPbXk01yRQ14sZ,1
13,spotify:track:3PGAgwFWnFCisvjb3rLyuh,1
14,spotify:track:4EMJ0OvlQ0AeYx9Y72QiP4,1
15,spotify:track:2tkMVjFwDzUCG3ulmz3fCb,1
16,spotify:track:185xDOLU8KPZKqhUICnjRz,1
17,spotify:track:5o6vAfUHAM8vmMsXoA8f8t,1
18,spotify:track:6sCzORY75H6Zt1dCDBBJr2,1
19,spotify:track:7n3vJc7HYnvqo8Gn7FnXJh,1
20,spotify:track:1O8RTsFAZGN9GmXvfaa1Tc,1
21,spotify:track:2gXclup5H2J9dInrVLFs3n,1
22,spotify:track:2FpyAQLrwqHbvtw6KXx5qu,1
23,spotify:track:4JGKZS7h4Qa16gOU3oNETV,1
24,spotify:track:2PaETSKl3w3IdtLIbDnQXJ,1
25,spotify:track:2XbcujvemK0hGh0Ob4HAXQ,1
26,spotify:track:2dxXKqqpSV4eCgPxC6t8mn,1
27,spotify:track:71HALC2H5zRYO5LULHfHcU,1
28,spotify:track:3rSyfLKVbrYhLz26iAaAzD,1
29,spotify:track:5jzma6gCzYtKB1DbEwFZKH,1
30,spotify:track:67DveIUUjToBiKJwMnFZiJ,1
31,spotify:track:2Oa3BKEKqaceIWKjXELmfp,1
32,spotify:track:2fYRXoal0ysbJJBUddCGDb,1
