,uri,count,name,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
0,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,120,Toxic,2003-11-13,80,False,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,audio_features,6I9VzXrHxO9rA9A5euc8Ak,https://api.spotify.com/v1/tracks/6I9VzXrHxO9rA9A5euc8Ak,https://api.spotify.com/v1/audio-analysis/6I9VzXrHxO9rA9A5euc8Ak,198800,4
1,spotify:track:0VgkVdmE4gld66l8iyGjgx,56,Mask Off,2017-06-30,82,True,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,audio_features,0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,204600,4
3,spotify:track:2xLMifQCjDGFmkHkpNLD9h,111,SICKO MODE,2018-08-03,92,True,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,audio_features,2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,312820,4
4,spotify:track:66s45uMhk7Y4z0xUgESdm3,26,Unwell - 2007 Remaster,2007-09-29,63,False,0.442,0.793,9,-5.152,1,0.0347,0.0456,0.0,0.328,0.437,80.985,audio_features,66s45uMhk7Y4z0xUgESdm3,https://api.spotify.com/v1/tracks/66s45uMhk7Y4z0xUgESdm3,https://api.spotify.com/v1/audio-analysis/66s45uMhk7Y4z0xUgESdm3,237267,4
5,spotify:track:5veJDT0MLsLbhYsx42GXUD,91,Don't Stand So Close To Me,1980-10-03,71,False,0.799,0.506,2,-9.414,1,0.0606,0.0453,0.00107,0.0365,0.518,140.309,audio_features,5veJDT0MLsLbhYsx42GXUD,https://api.spotify.com/v1/tracks/5veJDT0MLsLbhYsx42GXUD,https://api.spotify.com/v1/audio-analysis/5veJDT0MLsLbhYsx42GXUD,242667,4
6,spotify:track:0snQkGI5qnAmohLE7jTsTn,22,Toxicity,2001-09-04,78,False,0.413,0.873,8,-4.151,1,0.0535,0.000264,0.0025,0.204,0.481,116.681,audio_features,0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/tracks/0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/audio-analysis/0snQkGI5qnAmohLE7jTsTn,218933,3
7,spotify:track:3pIYV8ajPqkgTABRR54rWP,15,Fever,2016-07-15,52,False,0.786,0.729,0,-5.931,1,0.0536,0.00774,1.45e-05,0.0704,0.479,112.96,audio_features,3pIYV8ajPqkgTABRR54rWP,https://api.spotify.com/v1/tracks/3pIYV8ajPqkgTABRR54rWP,https://api.spotify.com/v1/audio-analysis/3pIYV8ajPqkgTABRR54rWP,184987,4
8,spotify:track:4UDmDIqJIbrW0hMBQMFOsM,63,Stayin' Alive,1977-12-13,66,False,0.707,0.535,10,-19.793,0,0.0436,0.113,0.00615,0.0884,0.641,103.644,audio_features,4UDmDIqJIbrW0hMBQMFOsM,https://api.spotify.com/v1/tracks/4UDmDIqJIbrW0hMBQMFOsM,https://api.spotify.com/v1/audio-analysis/4UDmDIqJIbrW0hMBQMFOsM,92867,4
10,spotify:track:47tVRotmsKNeNqO7xU5og2,26,You Sound Like You're Sick - 2002 Remaster,1981-07-20,53,False,0.334,0.925,1,-4.973,1,0.046,0.00767,2.78e-06,0.253,0.756,206.955,audio_features,47tVRotmsKNeNqO7xU5og2,https://api.spotify.com/v1/tracks/47tVRotmsKNeNqO7xU5og2,https://api.spotify.com/v1/audio-analysis/47tVRotmsKNeNqO7xU5og2,161267,4
13,spotify:track:2i3WO0WkrlnrA1I4GdUmxh,10,I Believe I'm Fine,2017-09-29,59,False,0.711,0.747,10,-6.165,0,0.061,0.271,0.0,0.328,0.572,100.01,audio_features,2i3WO0WkrlnrA1I4GdUmxh,https://api.spotify.com/v1/tracks/2i3WO0WkrlnrA1I4GdUmxh,https://api.spotify.com/v1/audio-analysis/2i3WO0WkrlnrA1I4GdUmxh,227720,4
16,spotify:track:1DhRbox3xkceP64k3JeYfW,29,Antisocial (with Travis Scott),2019-07-12,73,False,0.715,0.823,5,-5.313,0,0.0495,0.133,0.0,0.361,0.91,151.956,audio_features,1DhRbox3xkceP64k3JeYfW,https://api.spotify.com/v1/tracks/1DhRbox3xkceP64k3JeYfW,https://api.spotify.com/v1/audio-analysis/1DhRbox3xkceP64k3JeYfW,161747,4
18,spotify:track:7zxLkZbUxITHabPzGN8Xgc,17,Sick Feeling,2018-10-05,65,False,0.425,0.504,9,-10.003,1,0.0314,0.022,3.84e-06,0.363,0.403,165.818,audio_features,7zxLkZbUxITHabPzGN8Xgc,https://api.spotify.com/v1/tracks/7zxLkZbUxITHabPzGN8Xgc,https://api.spotify.com/v1/audio-analysis/7zxLkZbUxITHabPzGN8Xgc,155714,4
19,spotify:track:69oAflKTaF6WOhvRe3y4qW,8,The Kids Don't Stand A Chance,2008-01-27,48,False,0.659,0.463,0,-6.251,1,0.0365,0.291,0.568,0.175,0.881,140.01,audio_features,69oAflKTaF6WOhvRe3y4qW,https://api.spotify.com/v1/tracks/69oAflKTaF6WOhvRe3y4qW,https://api.spotify.com/v1/audio-analysis/69oAflKTaF6WOhvRe3y4qW,243000,4
20,spotify:track:1qowUCis8gYY9KOMuy8fCi,11,Made In China,2018-04-13,56,False,0.79,0.779,1,-2.642,1,0.0416,0.00397,0.000155,0.159,0.228,150.115,audio_features,1qowUCis8gYY9KOMuy8fCi,https://api.spotify.com/v1/tracks/1qowUCis8gYY9KOMuy8fCi,https://api.spotify.com/v1/audio-analysis/1qowUCis8gYY9KOMuy8fCi,171733,4
24,spotify:track:6XM53PbvlzhuNtJZtpl7RP,12,In My Bed,2019-12-13,71,False,0.637,0.501,0,-6.148,0,0.187,0.229,5.91e-05,0.099,0.431,103.993,audio_features,6XM53PbvlzhuNtJZtpl7RP,https://api.spotify.com/v1/tracks/6XM53PbvlzhuNtJZtpl7RP,https://api.spotify.com/v1/audio-analysis/6XM53PbvlzhuNtJZtpl7RP,185461,4
29,spotify:track:7BdlyzVvOqmwPH9dYtZfsx,8,Dead Eyes,2019-11-08,74,True,0.719,0.651,7,-5.878,1,0.0274,0.127,0.0,0.0763,0.288,104.956,audio_features,7BdlyzVvOqmwPH9dYtZfsx,https://api.spotify.com/v1/tracks/7BdlyzVvOqmwPH9dYtZfsx,https://api.spotify.com/v1/audio-analysis/7BdlyzVvOqmwPH9dYtZfsx,219429,4
30,spotify:track:1qDrWA6lyx8cLECdZE7TV7,21,Somebody That I Used To Know,2011-01-01,77,False,0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,audio_features,1qDrWA6lyx8cLECdZE7TV7,https://api.spotify.com/v1/tracks/1qDrWA6lyx8cLECdZE7TV7,https://api.spotify.com/v1/audio-analysis/1qDrWA6lyx8cLECdZE7TV7,244885,4
31,spotify:track:22VdIZQfgXJea34mQxlt81,54,Can't Feel My Face,2015-08-28,81,False,0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949,audio_features,22VdIZQfgXJea34mQxlt81,https://api.spotify.com/v1/tracks/22VdIZQfgXJea34mQxlt81,https://api.spotify.com/v1/audio-analysis/22VdIZQfgXJea34mQxlt81,213520,4
32,spotify:track:4V9JDRqKjN8F2HWdlEDxvI,51,Harder To Breathe,2002,68,True,0.662,0.908,1,-4.764,0,0.0449,0.0506,0.0,0.0508,0.967,149.941,audio_features,4V9JDRqKjN8F2HWdlEDxvI,https://api.spotify.com/v1/tracks/4V9JDRqKjN8F2HWdlEDxvI,https://api.spotify.com/v1/audio-analysis/4V9JDRqKjN8F2HWdlEDxvI,173693,4
33,spotify:track:49A10weBfgwg4TUM3My7iv,8,We Might Be Dead By Tomorrow,2012,58,False,0.391,0.152,7,-16.558,1,0.0391,0.966,0.00197,0.119,0.0974,143.508,audio_features,49A10weBfgwg4TUM3My7iv,https://api.spotify.com/v1/tracks/49A10weBfgwg4TUM3My7iv,https://api.spotify.com/v1/audio-analysis/49A10weBfgwg4TUM3My7iv,161413,4
35,spotify:track:4qUtC2BwFC154Ha8YQRrkk,14,How to disappear,2019-08-30,69,False,0.326,0.303,9,-11.802,1,0.047,0.565,0.000655,0.161,0.0677,78.888,audio_features,4qUtC2BwFC154Ha8YQRrkk,https://api.spotify.com/v1/tracks/4qUtC2BwFC154Ha8YQRrkk,https://api.spotify.com/v1/audio-analysis/4qUtC2BwFC154Ha8YQRrkk,228071,3
38,spotify:track:5c9ItJuD8wnUrWsudy6Zfx,10,Rather Die Young,2011,30,False,0.628,0.665,4,-6.626,1,0.112,0.158,0.00278,0.177,0.447,72.032,audio_features,5c9ItJuD8wnUrWsudy6Zfx,https://api.spotify.com/v1/tracks/5c9ItJuD8wnUrWsudy6Zfx,https://api.spotify.com/v1/audio-analysis/5c9ItJuD8wnUrWsudy6Zfx,222480,4
