,acousticness,analysis_url,count,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.153,https://api.spotify.com/v1/audio-analysis/3WogGiNpaOmYcPwqslBgZG,5,0.641,283585,0.684,False,3WogGiNpaOmYcPwqslBgZG,0.0,0,0.346,-6.463,1,L'Amérique pleure,59,2019-10-04,0.0345,102.025,4,https://api.spotify.com/v1/tracks/3WogGiNpaOmYcPwqslBgZG,audio_features,spotify:track:3WogGiNpaOmYcPwqslBgZG,0.639
3,0.354,https://api.spotify.com/v1/audio-analysis/23Na3MCF9QaYja7W7mVMxy,6,0.653,265053,0.622,False,23Na3MCF9QaYja7W7mVMxy,0.0,9,0.0761,-8.274,0,Les étoiles filantes,53,2004-11-23,0.0399,129.892,4,https://api.spotify.com/v1/tracks/23Na3MCF9QaYja7W7mVMxy,audio_features,spotify:track:23Na3MCF9QaYja7W7mVMxy,0.53
5,0.853,https://api.spotify.com/v1/audio-analysis/4tSffeciMCcNIvITmh6QHP,7,0.662,178293,0.436,False,4tSffeciMCcNIvITmh6QHP,0.0,9,0.0624,-12.9,0,I Lost My Baby,48,1996-10-01,0.0651,92.857,4,https://api.spotify.com/v1/tracks/4tSffeciMCcNIvITmh6QHP,audio_features,spotify:track:4tSffeciMCcNIvITmh6QHP,0.627
17,9.53e-05,https://api.spotify.com/v1/audio-analysis/2SqZ6pmqXB5szlwEgaeDYW,6,0.672,311200,0.848,False,2SqZ6pmqXB5szlwEgaeDYW,1.08e-05,2,0.0827,-8.605,1,1990,44,1990-08-01,0.0635,122.051,4,https://api.spotify.com/v1/tracks/2SqZ6pmqXB5szlwEgaeDYW,audio_features,spotify:track:2SqZ6pmqXB5szlwEgaeDYW,0.6
27,0.378,https://api.spotify.com/v1/audio-analysis/3WgK1nC3pQmJ9UtBF4oNMR,5,0.549,324615,0.721,False,3WgK1nC3pQmJ9UtBF4oNMR,0.0,7,0.0935,-6.695,0,Dégénérations / Le reel du fossé,47,2003,0.104,98.861,4,https://api.spotify.com/v1/tracks/3WgK1nC3pQmJ9UtBF4oNMR,audio_features,spotify:track:3WgK1nC3pQmJ9UtBF4oNMR,0.873
28,0.301,https://api.spotify.com/v1/audio-analysis/6JVngSxUtrYkWfFmFWmtm5,7,0.549,320320,0.193,False,6JVngSxUtrYkWfFmFWmtm5,0.000542,0,0.108,-14.634,0,La Complainte Du Phoque En Alaska - Remastered,42,1994,0.0317,113.381,3,https://api.spotify.com/v1/tracks/6JVngSxUtrYkWfFmFWmtm5,audio_features,spotify:track:6JVngSxUtrYkWfFmFWmtm5,0.239
31,0.203,https://api.spotify.com/v1/audio-analysis/1sQ0oafDSZQUElkV5ERvLx,5,0.558,214973,0.386,False,1sQ0oafDSZQUElkV5ERvLx,0.0,4,0.0919,-9.202,0,Toune d'automne,50,2009-05-05,0.0253,78.219,4,https://api.spotify.com/v1/tracks/1sQ0oafDSZQUElkV5ERvLx,audio_features,spotify:track:1sQ0oafDSZQUElkV5ERvLx,0.435
34,0.336,https://api.spotify.com/v1/audio-analysis/3w5bSQlQzKFUE3osgrMRBT,7,0.733,335840,0.514,False,3w5bSQlQzKFUE3osgrMRBT,0.0,2,0.296,-7.484,1,Tassez-Vous De D'là,48,1998-07-01,0.115,78.695,4,https://api.spotify.com/v1/tracks/3w5bSQlQzKFUE3osgrMRBT,audio_features,spotify:track:3w5bSQlQzKFUE3osgrMRBT,0.648
36,0.192,https://api.spotify.com/v1/audio-analysis/21ATIZAwB9QXBOpTzw2lDM,5,0.586,267280,0.81,False,21ATIZAwB9QXBOpTzw2lDM,2.44e-06,11,0.102,-6.086,0,Amalgame,37,1999-12-31,0.0369,96.933,4,https://api.spotify.com/v1/tracks/21ATIZAwB9QXBOpTzw2lDM,audio_features,spotify:track:21ATIZAwB9QXBOpTzw2lDM,0.509
38,0.423,https://api.spotify.com/v1/audio-analysis/3iT4c9MPnaordWrfvTs8MU,5,0.699,168200,0.889,False,3iT4c9MPnaordWrfvTs8MU,0.0,11,0.226,-4.999,0,Paradis City,45,2015-02-02,0.0683,97.028,4,https://api.spotify.com/v1/tracks/3iT4c9MPnaordWrfvTs8MU,audio_features,spotify:track:3iT4c9MPnaordWrfvTs8MU,0.87
41,0.504,https://api.spotify.com/v1/audio-analysis/0sczR0OFWOGd9U8tECZ47Z,5,0.675,212760,0.52,False,0sczR0OFWOGd9U8tECZ47Z,0.251,5,0.0952,-10.069,1,Montréal,38,2005-11-16,0.0424,170.112,4,https://api.spotify.com/v1/tracks/0sczR0OFWOGd9U8tECZ47Z,audio_features,spotify:track:0sczR0OFWOGd9U8tECZ47Z,0.962
50,0.2,https://api.spotify.com/v1/audio-analysis/6Khu8ivxbVt8xHJVfVliLU,5,0.707,212493,0.472,False,6Khu8ivxbVt8xHJVfVliLU,0.0,10,0.146,-9.88,0,Espionne russe,45,2014-01-28,0.0753,151.956,4,https://api.spotify.com/v1/tracks/6Khu8ivxbVt8xHJVfVliLU,audio_features,spotify:track:6Khu8ivxbVt8xHJVfVliLU,0.583
52,0.616,https://api.spotify.com/v1/audio-analysis/10pCXoG0FfFqk2ltikjuEf,9,0.528,201363,0.35,False,10pCXoG0FfFqk2ltikjuEf,5.4e-06,5,0.125,-17.108,1,Pour Un Instant,43,1974-01-01,0.0322,129.253,4,https://api.spotify.com/v1/tracks/10pCXoG0FfFqk2ltikjuEf,audio_features,spotify:track:10pCXoG0FfFqk2ltikjuEf,0.489
55,0.0274,https://api.spotify.com/v1/audio-analysis/5tolMesLH4lIK2dTrCHmXO,6,0.37,296027,0.697,False,5tolMesLH4lIK2dTrCHmXO,0.0,5,0.118,-3.69,1,La désise,37,1999-10-12,0.0637,183.1,3,https://api.spotify.com/v1/tracks/5tolMesLH4lIK2dTrCHmXO,audio_features,spotify:track:5tolMesLH4lIK2dTrCHmXO,0.295
57,0.0153,https://api.spotify.com/v1/audio-analysis/2zuTXMKi4tDhy7ZYHbQpli,5,0.529,264827,0.443,False,2zuTXMKi4tDhy7ZYHbQpli,0.000806,2,0.114,-8.966,1,Saskatchewan,46,2004-03-31,0.0281,123.987,3,https://api.spotify.com/v1/tracks/2zuTXMKi4tDhy7ZYHbQpli,audio_features,spotify:track:2zuTXMKi4tDhy7ZYHbQpli,0.0888
69,0.124,https://api.spotify.com/v1/audio-analysis/6higbPkv82W1ZwCeZIVGv3,8,0.626,232720,0.675,False,6higbPkv82W1ZwCeZIVGv3,2.49e-06,10,0.115,-7.363,1,Embarque ma belle,49,2005-05-03,0.0275,121.897,4,https://api.spotify.com/v1/tracks/6higbPkv82W1ZwCeZIVGv3,audio_features,spotify:track:6higbPkv82W1ZwCeZIVGv3,0.59
84,0.0504,https://api.spotify.com/v1/audio-analysis/2Fit4zvhoTT4KLQj1T7HHQ,6,0.367,216227,0.782,False,2Fit4zvhoTT4KLQj1T7HHQ,0.0,9,0.23,-7.177,1,Mexico,45,2005-05-03,0.0331,92.884,4,https://api.spotify.com/v1/tracks/2Fit4zvhoTT4KLQj1T7HHQ,audio_features,spotify:track:2Fit4zvhoTT4KLQj1T7HHQ,0.791
190,0.0433,https://api.spotify.com/v1/audio-analysis/0LiSASDl1Os4c8JeiypsT8,5,0.539,185107,0.515,False,0LiSASDl1Os4c8JeiypsT8,0.0,1,0.0777,-5.997,1,Te Olvidé,71,2020-01-17,0.0345,124.853,4,https://api.spotify.com/v1/tracks/0LiSASDl1Os4c8JeiypsT8,audio_features,spotify:track:0LiSASDl1Os4c8JeiypsT8,0.823
198,0.118,https://api.spotify.com/v1/audio-analysis/5DL6BDuqhnQw8HfIvUYkm9,6,0.505,228507,0.411,False,5DL6BDuqhnQw8HfIvUYkm9,0.0,11,0.146,-6.904,1,Caballero,72,2019-10-03,0.0325,101.69,4,https://api.spotify.com/v1/tracks/5DL6BDuqhnQw8HfIvUYkm9,audio_features,spotify:track:5DL6BDuqhnQw8HfIvUYkm9,0.534
260,0.388,https://api.spotify.com/v1/audio-analysis/1LO951RWD10l9Vys0NrFty,7,0.617,156947,0.57,False,1LO951RWD10l9Vys0NrFty,0.0,9,0.143,-3.074,0,No Te Contaron Mal,70,2018-09-07,0.0374,163.2,4,https://api.spotify.com/v1/tracks/1LO951RWD10l9Vys0NrFty,audio_features,spotify:track:1LO951RWD10l9Vys0NrFty,0.632
262,0.519,https://api.spotify.com/v1/audio-analysis/5roCNZmSZyDweazZPFQ8eq,5,0.73,216840,0.38,False,5roCNZmSZyDweazZPFQ8eq,1.75e-06,10,0.0574,-6.527,1,Nomás Este Rey (Bonus Track),55,2018-08-02,0.0366,139.867,3,https://api.spotify.com/v1/tracks/5roCNZmSZyDweazZPFQ8eq,audio_features,spotify:track:5roCNZmSZyDweazZPFQ8eq,0.904
269,0.278,https://api.spotify.com/v1/audio-analysis/1l77YWrGUp3qX3NS1rz7lq,9,0.765,202560,0.339,False,1l77YWrGUp3qX3NS1rz7lq,0.0,8,0.131,-8.965,1,El Color de Tus Ojos,74,2017-04-21,0.0365,123.95,4,https://api.spotify.com/v1/tracks/1l77YWrGUp3qX3NS1rz7lq,audio_features,spotify:track:1l77YWrGUp3qX3NS1rz7lq,0.864
270,0.169,https://api.spotify.com/v1/audio-analysis/63bmZnBN1CiJ9sA4qTEe8y,5,0.433,199320,0.431,False,63bmZnBN1CiJ9sA4qTEe8y,0.0,2,0.307,-6.422,1,Adiós Amor,74,2017-08-25,0.0367,177.732,4,https://api.spotify.com/v1/tracks/63bmZnBN1CiJ9sA4qTEe8y,audio_features,spotify:track:63bmZnBN1CiJ9sA4qTEe8y,0.722
276,0.218,https://api.spotify.com/v1/audio-analysis/0LDnOpACa7YbaNhe2C0XLg,19,0.327,363459,0.641,False,0LDnOpACa7YbaNhe2C0XLg,0.148,8,0.107,-7.364,0,Symphony of Shadows (Qlimax 2019 Anthem),45,2019-10-25,0.0633,149.906,4,https://api.spotify.com/v1/tracks/0LDnOpACa7YbaNhe2C0XLg,audio_features,spotify:track:0LDnOpACa7YbaNhe2C0XLg,0.109
277,0.386,https://api.spotify.com/v1/audio-analysis/7dOk9Bck00Zv0eeq5m6GoN,17,0.379,211200,0.802,False,7dOk9Bck00Zv0eeq5m6GoN,2.17e-06,5,0.0848,-1.802,0,Fallen Souls,51,2019-10-01,0.0339,150.012,4,https://api.spotify.com/v1/tracks/7dOk9Bck00Zv0eeq5m6GoN,audio_features,spotify:track:7dOk9Bck00Zv0eeq5m6GoN,0.221
278,0.00546,https://api.spotify.com/v1/audio-analysis/6VQye74oX8FYIXUKI7feiG,18,0.542,190400,0.856,False,6VQye74oX8FYIXUKI7feiG,0.000306,9,0.248,-4.803,0,Untamable,55,2019-08-29,0.0414,150.09,4,https://api.spotify.com/v1/tracks/6VQye74oX8FYIXUKI7feiG,audio_features,spotify:track:6VQye74oX8FYIXUKI7feiG,0.332
279,0.0505,https://api.spotify.com/v1/audio-analysis/5QK32vB1hmlEe1ruP1usFk,16,0.319,222400,0.85,False,5QK32vB1hmlEe1ruP1usFk,7.22e-05,2,0.347,-2.664,0,Army of Fire,47,2019-10-04,0.0535,112.365,3,https://api.spotify.com/v1/tracks/5QK32vB1hmlEe1ruP1usFk,audio_features,spotify:track:5QK32vB1hmlEe1ruP1usFk,0.092
280,0.00716,https://api.spotify.com/v1/audio-analysis/0SAQ2oSNEzGU1NMCbKfYiC,16,0.494,208400,0.937,False,0SAQ2oSNEzGU1NMCbKfYiC,0.283,8,0.303,-5.147,1,Wasteland,45,2019-08-14,0.2,150.044,4,https://api.spotify.com/v1/tracks/0SAQ2oSNEzGU1NMCbKfYiC,audio_features,spotify:track:0SAQ2oSNEzGU1NMCbKfYiC,0.204
281,0.157,https://api.spotify.com/v1/audio-analysis/6YUB4Wv4yJluyWsq3s9gjb,13,0.44,230400,0.898,False,6YUB4Wv4yJluyWsq3s9gjb,0.0,9,0.0784,-2.911,0,Ghost Stories,54,2018-08-13,0.0434,150.119,4,https://api.spotify.com/v1/tracks/6YUB4Wv4yJluyWsq3s9gjb,audio_features,spotify:track:6YUB4Wv4yJluyWsq3s9gjb,0.124
282,0.0393,https://api.spotify.com/v1/audio-analysis/3fZIBSibgTdC4gaqoXmk8G,24,0.413,230321,0.801,False,3fZIBSibgTdC4gaqoXmk8G,0.0,9,0.251,-4.24,0,Orange Heart (feat. Sian Evans),57,2019-07-09,0.0748,75.467,4,https://api.spotify.com/v1/tracks/3fZIBSibgTdC4gaqoXmk8G,audio_features,spotify:track:3fZIBSibgTdC4gaqoXmk8G,0.194
